DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-06-27,EQ,1475.6,1494,1459,1467.8,1488,1485.5,1474.58,1621.4,705.1,7803408,11506729527.65,189880,ADANIPORTS
2024-06-26,EQ,1458.9,1474.5,1451.05,1456.15,1472,1467.8,1463.53,1621.4,705.1,3217949,4709575273.85,97672,ADANIPORTS
2024-06-25,EQ,1466.15,1468.9,1437,1460.25,1454.5,1456.15,1450.2,1621.4,705.1,3343186,4848298140.85,108468,ADANIPORTS
2024-06-24,EQ,1474.85,1479.65,1450.2,1485.5,1460.25,1460.25,1461.9,1621.4,705.1,3009931,4400218717.5,103413,ADANIPORTS
2024-06-21,EQ,1479.95,1498.9,1470,1469.4,1475.95,1485.5,1485.14,1621.4,703,25891893,38453016485.2,222567,ADANIPORTS
2024-06-20,EQ,1459.3,1476.8,1444.1,1448.4,1470.75,1469.4,1464.46,1621.4,703,4905603,7184040756.1,172729,ADANIPORTS
2024-06-19,EQ,1446,1452,1420.45,1445,1452,1448.4,1438.23,1621.4,703,4484742,6450111310.85,153477,ADANIPORTS
2024-06-18,EQ,1447,1458.6,1434.05,1430.7,1444,1445,1443.89,1621.4,703,5651898,8160735207.7,121761,ADANIPORTS
2024-06-14,EQ,1409,1442,1395.45,1404.45,1429.7,1430.7,1425.58,1621.4,703,5651491,8056635246.35,149880,ADANIPORTS
2024-06-13,EQ,1403.6,1411,1388.05,1393.95,1404,1404.45,1401.02,1621.4,703,2839159,3977727755.35,117279,ADANIPORTS
2024-06-12,EQ,1411.75,1414.45,1390.6,1403.45,1394.9,1393.95,1401.65,1621.4,703,3258265,4566936210.75,117720,ADANIPORTS
2024-06-11,EQ,1391,1418.8,1384.05,1384.05,1406,1403.45,1402.32,1621.4,703,4122878,5781577228.25,112681,ADANIPORTS
2024-06-10,EQ,1404,1415.35,1381.25,1378.85,1383.9,1384.05,1396.94,1621.4,703,4843234,6765708500.3,187698,ADANIPORTS
2024-06-07,EQ,1357.7,1385,1355.05,1352.95,1378,1378.85,1374.17,1621.4,703,5884018,8085613692.45,161288,ADANIPORTS
2024-06-06,EQ,1384,1404,1344.8,1354.6,1357,1352.95,1370.84,1621.4,703,12153840,16660920649.1,441222,ADANIPORTS
2024-06-05,EQ,1281,1368,1160.6,1248.95,1340,1354.6,1272.58,1621.4,703,20879925,26571328175.55,827827,ADANIPORTS
2024-06-04,EQ,1558,1558,1188,1583.95,1245,1248.95,1337.42,1621.4,703,52109624,69692566425.95,1184624,ADANIPORTS
2024-06-03,EQ,1549,1621.4,1535,1437.4,1590,1583.95,1578.73,1621.4,703,23398347,36939704359.3,430815,ADANIPORTS
2024-05-31,EQ,1391,1451,1391,1383.5,1439,1437.4,1428.68,1457.05,703,8238969,11770830477.85,213346,ADANIPORTS
2024-05-30,EQ,1410,1413.65,1373.65,1410,1390,1383.5,1395.79,1457.05,703,3477661,4854071188.6,133342,ADANIPORTS
2024-05-29,EQ,1406,1427.85,1382.9,1400.5,1409,1410,1407.34,1457.05,703,3214475,4523863672.4,103675,ADANIPORTS
2024-05-28,EQ,1438,1438,1398,1431.65,1400.65,1400.5,1411.74,1457.05,703,4070886,5747015585.6,122574,ADANIPORTS
2024-05-27,EQ,1445,1457.05,1423.6,1416.1,1432.7,1431.65,1439.25,1457.05,703,5517078,7940467764.9,149010,ADANIPORTS
2024-05-24,EQ,1435,1444.95,1382.15,1443.35,1416.9,1416.1,1401.53,1448.8,693.15,19100263,26769568496.55,209082,ADANIPORTS
2024-05-23,EQ,1384,1448.8,1369.9,1378.2,1444.35,1443.35,1414.99,1448.8,693.15,7821034,11066696592.3,219904,ADANIPORTS
2024-05-22,EQ,1394.35,1394.35,1364.2,1385.5,1378.1,1378.2,1376.4,1424.95,693.15,1878562,2585654815.7,86474,ADANIPORTS
2024-05-21,EQ,1344,1398.8,1333,1340.2,1382.55,1385.5,1374.34,1424.95,693.15,4200578,5773016470.3,150749,ADANIPORTS
2024-05-18,EQ,1342,1345.2,1335.1,1335.7,1345,1340.2,1339.83,1424.95,659.5,192526,257952577.1,7543,ADANIPORTS
2024-05-17,EQ,1330,1343.3,1321.15,1345.05,1335.75,1335.7,1334.8,1424.95,659.5,1945123,2596357383.7,104349,ADANIPORTS
2024-05-16,EQ,1352.2,1366.75,1310.5,1337.85,1342,1345.05,1340.27,1424.95,659.5,4822618,6463630277,183724,ADANIPORTS
2024-05-15,EQ,1337.85,1353.95,1333,1331.25,1337.6,1337.85,1341.63,1424.95,659.5,2189768,2937867131.1,95993,ADANIPORTS
2024-05-14,EQ,1306.4,1339.9,1285.25,1306.4,1332.35,1331.25,1322.05,1424.95,659.5,2989543,3952324253.5,107922,ADANIPORTS
2024-05-13,EQ,1267,1313,1261.65,1266.75,1305.1,1306.4,1285.75,1424.95,659.5,2495810,3208984127.4,97610,ADANIPORTS
