DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-06-27,EQ,2860.75,2903,2845,2863.35,2885.8,2880.85,2874.55,3568,2670.1,1628022,4679825283.05,140448,ASIANPAINT
2024-06-26,EQ,2860.2,2873.85,2844.05,2858.45,2865.6,2863.35,2862.44,3568,2670.1,960622,2749722792.75,57113,ASIANPAINT
2024-06-25,EQ,2876,2894.95,2856,2896.05,2861,2858.45,2873.78,3568,2670.1,1217792,3499661269.55,64339,ASIANPAINT
2024-06-24,EQ,2883,2899.95,2871.4,2890.85,2896,2896.05,2886.39,3568,2670.1,892125,2575019859.65,63587,ASIANPAINT
2024-06-21,EQ,2925,2928,2880.1,2915.5,2886,2890.85,2894.67,3568,2670.1,1722379,4985713403,116694,ASIANPAINT
2024-06-20,EQ,2885,2924.5,2872.4,2891.7,2914.8,2915.5,2905.96,3568,2670.1,1129752,3283019639.35,79992,ASIANPAINT
2024-06-19,EQ,2918,2920,2882.65,2918.5,2889.95,2891.7,2896.71,3568,2670.1,1018294,2949698632.65,61344,ASIANPAINT
2024-06-18,EQ,2921.6,2928,2905,2921.6,2920,2918.5,2916.53,3568,2670.1,741098,2161437869.1,57204,ASIANPAINT
2024-06-14,EQ,2910,2931.35,2905.1,2910,2919,2921.6,2921.24,3568,2670.1,982815,2871043073.05,62392,ASIANPAINT
2024-06-13,EQ,2929,2929,2905,2905.8,2913,2910,2912.59,3568,2670.1,726380,2115645015.1,57428,ASIANPAINT
2024-06-12,EQ,2909,2918,2865.65,2902.45,2904.15,2905.8,2891.46,3568,2670.1,1701770,4920597117.95,108150,ASIANPAINT
2024-06-11,EQ,2915,2920.35,2895,2937.55,2901,2902.45,2908.64,3568,2670.1,855430,2488140426.2,63578,ASIANPAINT
2024-06-10,EQ,2928,2951.9,2915,2927.7,2940,2937.55,2935.03,3568,2670.1,876867,2573629171.05,64133,ASIANPAINT
2024-06-07,EQ,2904.8,2943.1,2888.85,2904.8,2933,2927.7,2924.38,3568,2670.1,1600180,4679533601.75,127721,ASIANPAINT
2024-06-06,EQ,2960,2961.75,2882.25,2961.75,2910,2904.8,2918.03,3568,2670.1,1689408,4929738361.25,161111,ASIANPAINT
2024-06-05,EQ,2864.5,3027.3,2864.5,2857.65,2960,2961.75,2975.38,3568,2670.1,2410576,7172367696.6,165017,ASIANPAINT
2024-06-04,EQ,2880,2897,2775.75,2866.45,2873.95,2857.65,2858.03,3568,2670.1,2683847,7670515984.55,255550,ASIANPAINT
2024-06-03,EQ,2950,2950,2860.05,2881.2,2875,2866.45,2881.55,3568,2670.1,952701,2745256624.95,78065,ASIANPAINT
2024-05-31,EQ,2883.7,2906,2855.6,2883.7,2881.3,2881.2,2881.75,3568,2670.1,2520363,7263060163.5,140388,ASIANPAINT
2024-05-30,EQ,2875.25,2910.85,2875,2900.15,2889.3,2883.7,2889.96,3568,2670.1,1344426,3885333695.3,120152,ASIANPAINT
2024-05-29,EQ,2896,2921.7,2881.1,2911.2,2894,2900.15,2904.89,3568,2670.1,1758297,5107664054.8,101092,ASIANPAINT
2024-05-28,EQ,2875.85,2921,2864,2872.3,2920,2911.2,2898.1,3568,2670.1,1084544,3143120141.7,65182,ASIANPAINT
2024-05-27,EQ,2887.9,2898.3,2855.55,2874.75,2875.85,2872.3,2878.86,3568,2670.1,817091,2352287254.4,67730,ASIANPAINT
2024-05-24,EQ,2910.2,2910.2,2867,2903.75,2870,2874.75,2883.35,3568,2670.1,755822,2179295662.85,57103,ASIANPAINT
