DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-06-27,EQ,1310,1310,1280,1285.4,1288.05,1288.95,1293.09,1310,927.15,22311393,28850581982.4,295852,AXISBANK
2024-06-26,EQ,1281.1,1292.95,1259.2,1271.45,1284,1285.4,1277.28,1292.95,927.15,13956370,17826261937.8,252419,AXISBANK
2024-06-25,EQ,1234.45,1278.75,1226,1228.1,1272.65,1271.45,1259.63,1278.75,927.15,17607952,22179490315.1,328365,AXISBANK
2024-06-24,EQ,1231,1235.75,1225.05,1237.45,1229.65,1228.1,1229,1246,927.15,6676530,8205423840.8,199186,AXISBANK
2024-06-21,EQ,1246,1246,1223.75,1239.5,1232.1,1237.45,1229.24,1246,927.15,29311314,36030514617.6,236969,AXISBANK
2024-06-20,EQ,1230.1,1241.5,1220.4,1226.65,1238,1239.5,1234.4,1243.35,927.15,8206858,10130577306.25,184564,AXISBANK
2024-06-19,EQ,1193,1243.35,1185.5,1191.9,1229,1226.65,1216.95,1243.35,927.15,17987437,21889874992.9,338098,AXISBANK
2024-06-18,EQ,1194,1194,1181.15,1181.05,1190,1191.9,1188.94,1242.2,927.15,6837181,8128978098.4,166191,AXISBANK
2024-06-14,EQ,1180.95,1184.65,1170,1174.65,1181,1181.05,1178.9,1242.2,927.15,4451031,5247312164.1,175362,AXISBANK
2024-06-13,EQ,1201.8,1202,1173.45,1187.9,1175.5,1174.65,1182.78,1242.2,927.15,5321148,6293767209.9,166167,AXISBANK
2024-06-12,EQ,1192.1,1206.15,1184.1,1194.6,1186,1187.9,1193.99,1242.2,927.15,7199718,8596401078.25,206029,AXISBANK
2024-06-11,EQ,1204.45,1209.35,1190.45,1200,1193,1194.6,1199.79,1242.2,927.15,9390212,11266264173.15,175931,AXISBANK
2024-06-10,EQ,1185,1212.4,1185,1186.8,1196.95,1200,1205.31,1242.2,927.15,9995057,12047164277.3,353620,AXISBANK
2024-06-07,EQ,1178,1195.2,1166.75,1170.95,1188,1186.8,1186.19,1242.2,927.15,8583998,10182291291.25,186416,AXISBANK
2024-06-06,EQ,1192.1,1195.9,1163.25,1184.5,1174,1170.95,1177.39,1242.2,927.15,12006879,14136779337.85,334949,AXISBANK
2024-06-05,EQ,1138,1193,1110.7,1131.25,1180.5,1184.5,1152.75,1242.2,927.15,21039499,24253312563.5,382962,AXISBANK
2024-06-04,EQ,1224,1224,1101.55,1223.9,1138,1131.25,1154.47,1242.2,927.15,24135989,27864328324.9,496520,AXISBANK
2024-06-03,EQ,1197.05,1242.2,1193.4,1162.15,1230,1223.9,1217.27,1242.2,927.15,22197339,27020248884,405670,AXISBANK
2024-05-31,EQ,1173,1178,1153.4,1167.95,1164.05,1162.15,1163.57,1196,910.2,10057642,11702797392,181548,AXISBANK
2024-05-30,EQ,1155.2,1179.8,1155,1159.75,1172,1167.95,1167.19,1196,910.2,7232217,8441339660.05,187968,AXISBANK
2024-05-29,EQ,1172,1185.9,1156,1183.4,1164.95,1159.75,1165.17,1196,910.2,9418064,10973638363.45,159514,AXISBANK
2024-05-28,EQ,1188,1192.4,1179,1187,1181,1183.4,1184.71,1196,910.2,4018776,4761091671.7,108973,AXISBANK
2024-05-27,EQ,1178.9,1196,1168,1174,1187.25,1187,1184.9,1196,910.2,10450046,12382209226.7,237192,AXISBANK
2024-05-24,EQ,1165.5,1177,1160.6,1165.25,1172.95,1174,1170.1,1182.9,910.2,8814997,10314414702.2,261712,AXISBANK
2024-05-23,EQ,1126,1169.65,1125.75,1126,1164,1165.25,1155.8,1182.9,910.2,12818081,14815126041.05,230965,AXISBANK
2024-05-22,EQ,1142,1142,1117.95,1137.65,1131.4,1126,1127.49,1182.9,910.2,9094033,10253472782,192068,AXISBANK
2024-05-21,EQ,1136,1145.75,1129.2,1143.75,1137.7,1137.65,1137.6,1182.9,910.2,8162017,9285079457.1,174810,AXISBANK
2024-05-18,EQ,1142,1145,1137,1141.35,1142.15,1143.75,1141,1182.9,908.95,169757,193692329.95,5380,AXISBANK
2024-05-17,EQ,1132,1146,1126.1,1139.3,1144,1141.35,1137.58,1182.9,908.95,9909986,11273363179.9,168324,AXISBANK
2024-05-16,EQ,1134.15,1143.95,1111.3,1128.05,1141.9,1139.3,1128,1182.9,908.95,10750526,12126549873.85,292058,AXISBANK
2024-05-15,EQ,1125.55,1131.2,1118.6,1122.85,1128,1128.05,1125.11,1182.9,908.95,5436338,6116493659.4,198143,AXISBANK
2024-05-14,EQ,1129.95,1136.1,1118.1,1132,1123.05,1122.85,1123.6,1182.9,908.95,5471143,6147386089.4,178673,AXISBANK
2024-05-13,EQ,1120.1,1135.4,1105.05,1120.1,1133.75,1132,1121.13,1182.9,908.95,5513160,6180995003.25,224158,AXISBANK
2024-05-10,EQ,1123.7,1140,1113.35,1115.65,1122.25,1120.1,1124.95,1182.9,865.3,7242718,8147690576.45,151941,AXISBANK
2024-05-09,EQ,1122,1134.55,1112.2,1128.65,1119,1115.65,1122.64,1182.9,865.3,5226693,5867716191.65,168872,AXISBANK
2024-05-08,EQ,1124.65,1135.45,1118.25,1127.7,1132,1128.65,1127.7,1182.9,865.3,8175609,9219638150.75,162473,AXISBANK
2024-05-07,EQ,1146.05,1148.8,1124.05,1143.65,1127.65,1127.7,1131.78,1182.9,865.3,7115509,8053213188.25,169525,AXISBANK
2024-05-06,EQ,1143.9,1156,1135.65,1141.5,1144.5,1143.65,1146.78,1182.9,865.3,7490104,8589474788.75,152481,AXISBANK
2024-05-03,EQ,1150.9,1163.25,1134.1,1149.85,1140.4,1141.5,1144.78,1182.9,854.05,9993632,11440545970.4,193809,AXISBANK
2024-05-02,EQ,1156,1174,1148,1165.9,1150,1149.85,1156.76,1182.9,854.05,12302236,14230738751,277844,AXISBANK
