DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-05-31,EQ,408.95,427.8,404.25,408.4,422.15,423.65,417.23,462.5,239,219419,91547194.1,6982,BOROLTD
2023-05-30,EQ,405.1,419.45,402.45,404.8,409.15,408.4,411.23,462.5,239,152675,62785259.45,5763,BOROLTD
2023-05-29,EQ,392.7,410.5,387,390,403.1,404.8,404.34,462.5,239,202962,82065434.45,8657,BOROLTD
2023-05-26,EQ,387.4,398.45,380.8,385.7,394.5,390,391.29,462.5,239,202886,79386349.95,7636,BOROLTD
2023-05-25,EQ,373.6,387.45,369.75,371.15,383.55,385.7,380.18,462.5,239,182040,69207112.1,7247,BOROLTD
2023-05-24,EQ,379.6,383.45,370.15,377.15,370.95,371.15,377.02,462.5,239,133425,50304175,5977,BOROLTD
2023-05-23,EQ,381,396.9,372.75,411.85,377,377.15,382.93,462.5,239,652243,249765296.4,25625,BOROLTD
2023-05-22,EQ,411.3,416.8,405,410.95,414,411.85,411.63,462.5,239,87305,35937496.2,3471,BOROLTD
2023-05-19,EQ,412.5,418.35,396.85,410.3,411.4,410.95,409.04,462.5,239,139802,57183956.4,6363,BOROLTD
2023-05-18,EQ,413,416,409.55,411.8,411,410.3,411.48,462.5,239,36581,15052493.25,2005,BOROLTD
2023-05-17,EQ,410.7,413.5,407.8,409.25,411.2,411.8,410.46,462.5,239,62218,25538182.6,2803,BOROLTD
2023-05-16,EQ,401.6,414,400.55,402.8,410,409.25,408.67,462.5,239,58731,24001376.85,3243,BOROLTD
2023-05-15,EQ,396.1,404.2,395.25,397.95,404.2,402.8,400.82,462.5,239,38086,15265613.4,2384,BOROLTD
2023-05-12,EQ,395.5,404,395.5,395.5,400.7,397.95,399.96,462.5,239,57502,22998572.15,3993,BOROLTD
2023-05-11,EQ,394.9,398,393,394.9,397.55,395.5,395.82,462.5,239,30722,12160475.4,1582,BOROLTD
2023-05-10,EQ,398.1,404.15,392.85,396.5,395.6,394.9,396.53,462.5,239,39081,15496788.25,2690,BOROLTD
2023-05-09,EQ,403,409.55,391.8,402.6,398.7,396.5,400.38,462.5,239,67062,26850174.65,3412,BOROLTD
2023-05-08,EQ,417.3,417.3,399,414.15,401.95,402.6,408.47,462.5,239,84389,34470438,3775,BOROLTD
2023-05-05,EQ,422,425,408.75,419.8,410.6,414.15,414.68,462.5,239,92668,38427827.2,5072,BOROLTD
2023-05-04,EQ,417.75,421.7,414,417.5,419.75,419.8,417.68,462.5,239,119191,49783400,4939,BOROLTD
2023-05-03,EQ,406.9,421.45,401.95,407.25,418.4,417.5,415.14,462.5,239,118113,49033383.6,6731,BOROLTD
2023-05-02,EQ,409,411,402.65,405.05,404.6,407.25,407.22,462.5,239,51430,20943307.25,4763,BOROLTD
2023-04-28,EQ,402.8,409.75,392.65,401.55,406.7,405.05,402.26,462.5,239,232667,93592843.35,10519,BOROLTD
2023-04-27,EQ,398,407.85,386.7,400.5,404,401.55,398.9,462.5,239,92074,36728299.4,6394,BOROLTD
2023-04-26,EQ,392.7,403.75,387.75,393.35,402.7,400.5,398.87,462.5,239,68655,27384152.15,4728,BOROLTD
2023-04-25,EQ,409.7,411.6,389.9,407.6,392.95,393.35,400.47,462.5,239,71396,28591974.45,5738,BOROLTD
2023-04-24,EQ,409,414.3,405,405.9,409,407.6,407.74,462.5,239,58163,23715665.25,4121,BOROLTD
2023-04-21,EQ,402.25,411.05,402,406.25,406.25,405.9,406.09,462.5,239,82844,33641776.85,5071,BOROLTD
2023-04-20,EQ,400.45,409.5,400.4,398,405,406.25,405.33,462.5,239,121814,49374406.45,5779,BOROLTD
2023-04-19,EQ,384.9,404,384.9,382.9,397.15,398,398.47,462.5,239,234912,93605169.65,11102,BOROLTD
2023-04-18,EQ,380.65,388.8,377.6,380.65,387.8,382.9,382.35,462.5,239,51288,19609957.05,4058,BOROLTD
2023-04-17,EQ,374.95,384.9,368.7,373.15,379.3,380.65,379.54,462.5,239,81756,31030011.95,5657,BOROLTD
2023-04-13,EQ,375.95,377.45,371.3,374.8,373,373.15,374.72,462.5,239,25254,9463143.85,2691,BOROLTD
2023-04-12,EQ,373.8,376.75,370.85,372.4,375.15,374.8,374.46,462.5,239,41726,15624786.85,2808,BOROLTD
2023-04-11,EQ,374.5,377.65,367.75,377.15,371.5,372.4,372.86,462.5,239,68951,25709223.55,4059,BOROLTD
2023-04-10,EQ,375.2,385.65,365.5,372.45,375,377.15,377.26,462.5,239,174862,65967696.75,11920,BOROLTD
2023-04-06,EQ,348.7,376.75,345,344.1,375.2,372.45,365.37,462.5,239,306150,111858931.45,13844,BOROLTD
2023-04-05,EQ,328.9,347,322.7,327.85,346.4,344.1,334.05,462.5,239,112308,37516996.8,6551,BOROLTD
2023-04-03,EQ,339,339.9,325,327.15,325,327.85,332.13,462.5,239,92565,30743983.7,5943,BOROLTD
2023-03-31,EQ,315,331.5,315,312.45,325.7,327.15,325.25,462.5,239,92721,30157444.15,7086,BOROLTD
2023-03-29,EQ,310,315.7,304.05,304.05,313.75,312.45,310.75,462.5,239,94345,29317401.45,6507,BOROLTD
2023-03-28,EQ,315.15,319.75,300,312.05,307,304.05,306.17,462.5,239,53354,16335234.2,3929,BOROLTD
2023-03-27,EQ,315.05,321.4,309.95,316.55,310.1,312.05,314.29,462.5,239,64598,20302750.45,4888,BOROLTD
2023-03-24,EQ,326.25,326.25,315.1,321.65,315.3,316.55,319.95,462.5,239,44057,14095904.5,4264,BOROLTD
2023-03-23,EQ,326.95,332.75,320.85,330.3,321,321.65,325.74,462.5,239,34359,11192208.05,3985,BOROLTD
2023-03-22,EQ,331.9,334.2,323.05,330.5,330,330.3,329.51,462.5,239,24338,8019727.6,2204,BOROLTD
2023-03-21,EQ,324.8,335,323.25,323.75,328.3,330.5,328.74,462.5,239,43782,14392857.7,3402,BOROLTD
2023-03-20,EQ,323.5,324.85,318.9,325.7,324.5,323.75,321.95,462.5,239,35483,11423851.5,2860,BOROLTD
2023-03-17,EQ,321.15,327.8,320.1,321.15,324.05,325.7,323.64,462.5,239,28277,9151705.6,2331,BOROLTD
2023-03-16,EQ,314,324.9,305.1,315.3,319.1,321.15,315.9,462.5,239,52290,16518198.45,4764,BOROLTD
2023-03-15,EQ,318.1,323.3,313.4,315.7,315,315.3,319.08,462.5,239,28216,9003265.6,2748,BOROLTD
2023-03-14,EQ,322.75,328.85,314,321.1,315,315.7,318.53,462.5,239,48235,15364254.35,3645,BOROLTD
2023-03-13,EQ,330,334.5,320.1,332.65,323.8,321.1,325.88,462.5,239,39172,12765473.3,2973,BOROLTD
2023-03-10,EQ,343.7,343.7,330.8,340,333.05,332.65,334.47,462.5,239,46738,15632391.8,2927,BOROLTD
2023-03-09,EQ,340.9,344.3,337.25,339.5,340,340,340.37,462.5,239,27996,9528964.75,2436,BOROLTD
2023-03-08,EQ,328.4,340.45,328.3,328.8,339.1,339.5,335.55,462.5,239,55200,18522257.3,4154,BOROLTD
2023-03-06,EQ,329.05,334.15,328.1,327.95,329,328.8,331.07,462.5,239,23484,7774857.8,1822,BOROLTD
2023-03-03,EQ,327.2,331.7,327.05,329,329.1,327.95,329.37,462.5,239,34616,11401360.2,2876,BOROLTD
2023-03-02,EQ,326.7,334.9,326.7,326.2,329.65,329,330.81,462.5,239,41902,13861707.6,3159,BOROLTD
2023-03-01,EQ,319,328.5,319,318.55,326.5,326.2,326.19,462.5,239,39060,12741001.4,2882,BOROLTD
2023-02-28,EQ,320.1,322.55,314.25,318.95,319,318.55,317.56,462.5,239,46775,14853636,3862,BOROLTD
2023-02-27,EQ,329.25,331.95,317.95,331.95,317.95,318.95,322.06,462.5,239,62541,20142001.2,5372,BOROLTD
2023-02-24,EQ,340.2,344,330,340.2,331,331.95,336.75,462.5,239,35385,11915911.7,2912,BOROLTD
2023-02-23,EQ,331,341.8,325.95,330.6,341,340.2,337.1,462.5,239,99877,33668233.95,5090,BOROLTD
2023-02-22,EQ,334.25,337.15,328.4,336.15,330.85,330.6,332.02,462.5,239,43574,14467653.8,3967,BOROLTD
2023-02-21,EQ,339.3,341.7,335.4,340.6,336.5,336.15,338.16,462.5,239,24840,8399843.7,2662,BOROLTD
2023-02-20,EQ,340,345.6,338.25,341.3,341.5,340.6,342.01,462.5,239,50062,17121555.7,3356,BOROLTD
2023-02-17,EQ,340.25,342.85,337.35,339.1,339.1,341.3,340.74,462.5,239,32734,11153765.9,2085,BOROLTD
2023-02-16,EQ,344.8,348.7,338.1,343.15,340,339.1,342.21,462.5,239,35519,12154792.55,2204,BOROLTD
2023-02-15,EQ,334.75,345,334.75,336.1,344,343.15,340.87,462.5,239,44201,15066692.75,2747,BOROLTD
2023-02-14,EQ,335.5,341.75,332,337.75,335.1,336.1,336.19,462.5,239,44720,15034393.85,3840,BOROLTD
2023-02-13,EQ,338.8,342.5,335,340.1,339,337.75,337.93,462.5,239,50720,17139578.8,3574,BOROLTD
2023-02-10,EQ,338,346.85,337.2,341.1,340,340.1,341.97,462.5,239,59991,20515074,3535,BOROLTD
2023-02-09,EQ,340.05,344,337.3,341.2,341,341.1,340.83,462.5,239,27925,9517783.2,2026,BOROLTD
2023-02-08,EQ,340.1,345.35,338.15,339.3,341.5,341.2,340.92,462.5,239,45637,15558547.7,3082,BOROLTD
2023-02-07,EQ,335,347.6,335,336.5,341.2,339.3,343.13,462.5,239,76175,26137664.55,5760,BOROLTD
2023-02-06,EQ,333,345,332,340.3,336,336.5,337.63,462.5,239,51017,17224908.05,3958,BOROLTD
2023-02-03,EQ,353.95,360.85,336.25,353.05,341.5,340.3,346.58,462.5,239,193794,67164344.7,10322,BOROLTD
2023-02-02,EQ,350,369.5,349.95,352.9,353.9,353.05,360.33,462.5,239,69475,25033600.1,5298,BOROLTD
