DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-06-27,EQ,468.75,469,461.5,468.75,468,467.05,465.96,527.4,223.25,14857335,6922886014.3,173151,COALINDIA
2024-06-26,EQ,470.25,471.85,465.05,469.25,469.25,468.75,468.89,527.4,223.25,6655899,3120868783.3,79921,COALINDIA
2024-06-25,EQ,475.9,477.95,465.3,473.7,469.8,469.25,469.85,527.4,223.25,7951999,3736240197.4,98822,COALINDIA
2024-06-24,EQ,480,480.05,472,480.2,474.45,473.7,474.1,527.4,223.25,11124175,5274019124.25,133317,COALINDIA
2024-06-21,EQ,483.15,491.4,479,483.15,480.4,480.2,484.1,527.4,223.25,10340882,5006047738.5,101821,COALINDIA
2024-06-20,EQ,481.05,487.4,471.55,477.95,483.5,483.15,482.09,527.4,223.25,7864157,3791215750.1,116829,COALINDIA
2024-06-19,EQ,489.4,491.2,476.5,489.05,479.5,477.95,480.99,527.4,223.25,8962510,4310874663.65,126276,COALINDIA
2024-06-18,EQ,492,492.9,485.2,486.95,489.4,489.05,488.59,527.4,223.25,6946544,3394043640.95,100108,COALINDIA
2024-06-14,EQ,487.9,492.4,485.25,487.9,487.5,486.95,488.03,527.4,223.25,5974636,2915827137.45,75705,COALINDIA
2024-06-13,EQ,493.9,493.9,483.5,488.7,487.15,487.9,486.99,527.4,223.25,7438571,3622524555.25,105315,COALINDIA
2024-06-12,EQ,481,494.3,479.35,476.35,489.6,488.7,489.24,527.4,223.25,15412796,7540551834.55,163845,COALINDIA
2024-06-11,EQ,482,483.5,475.2,477.7,477.35,476.35,479.08,527.4,223.25,11169021,5350904100,87205,COALINDIA
2024-06-10,EQ,485,488,475.5,479.15,477.45,477.7,482.07,527.4,223.25,10958537,5282821416.95,133266,COALINDIA
2024-06-07,EQ,473,481.3,467.6,472.95,479,479.15,475.56,527.4,223.25,8317343,3955418120.75,124317,COALINDIA
2024-06-06,EQ,470,484.4,464.65,460.55,473.95,472.95,474.94,527.4,223.25,21757857,10333590084.4,339834,COALINDIA
2024-06-05,EQ,452,462.85,425.1,441.9,460,460.55,446.77,527.4,223.25,18966089,8473503030.6,279243,COALINDIA
2024-06-04,EQ,512.35,512.4,410.8,512.35,443,441.9,452.44,527.4,223.25,48046493,21738111649.6,601325,COALINDIA
2024-06-03,EQ,515,527.4,505.55,491.2,512.5,512.35,515.31,527.4,223.25,24416215,12581972098.45,251136,COALINDIA
2024-05-31,EQ,484.4,493.1,479,482.15,492,491.2,487.81,507.35,223.25,11223848,5475082324.95,126726,COALINDIA
2024-05-30,EQ,486,487.95,479.5,486.45,484.4,482.15,483.47,507.35,223.25,7725080,3734872629.2,140611,COALINDIA
2024-05-29,EQ,482.1,491.9,482.1,487.65,486.1,486.45,487.71,507.35,223.25,8014727,3908893223.6,109148,COALINDIA
2024-05-28,EQ,496,496.2,484.1,494.45,486.9,487.65,489.74,507.35,223.25,8165238,3998832036.9,138577,COALINDIA
2024-05-27,EQ,502.95,503,490.75,501,494.75,494.45,495.23,507.35,223.25,8811105,4363500836.9,129283,COALINDIA
2024-05-24,EQ,495.95,505.4,489.15,497.3,500.15,501,498.51,507.35,223.25,12190536,6077162733.05,126425,COALINDIA
2024-05-23,EQ,503.4,503.8,492.1,501.7,497,497.3,496.66,507.35,223.25,14378840,7141426233.4,154445,COALINDIA
