DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-06-16,EQ,568.75,574.7,567.05,566.5,570,571.25,570.69,629.55,430.7,12660226,7225083719.5,178755,SBIN
2023-06-15,EQ,576,576.7,565.25,576.55,566.75,566.5,571.49,629.55,430.7,17934877,10249589135.9,232221,SBIN
2023-06-14,EQ,577,578.55,575.25,576.4,576.35,576.55,576.96,629.55,430.7,8948696,5163047228.7,122388,SBIN
2023-06-13,EQ,579.45,581.4,574.25,578.65,576.35,576.4,576.44,629.55,430.7,12612098,7270079551.55,198530,SBIN
2023-06-12,EQ,580,581.5,577.7,578.7,578.55,578.65,579.37,629.55,430.7,8786066,5090356083.85,129364,SBIN
2023-06-09,EQ,588,589.1,576.75,588.5,578.8,578.7,580.81,629.55,430.7,18870272,10960050604.8,253490,SBIN
2023-06-08,EQ,589.95,593.95,586.35,589.2,588,588.5,591.21,629.55,430.7,15971917,9442724430.85,140988,SBIN
2023-06-07,EQ,588,590.6,586,585.35,588.8,589.2,588.49,629.55,430.7,11113781,6540371617.5,170307,SBIN
2023-06-06,EQ,588,588.9,583,587.2,586,585.35,585.23,629.55,430.7,11199940,6554543425.95,140444,SBIN
2023-06-05,EQ,588.5,589.8,586,587.2,587,587.2,587.86,629.55,430.7,12920507,7595473740.25,143514,SBIN
2023-06-02,EQ,584.7,588.9,583,582.75,586.6,587.2,586.45,629.55,430.7,11323908,6640901519.45,157397,SBIN
2023-06-01,EQ,581.8,586.4,581,579.85,583.05,582.75,584.03,629.55,430.7,17820226,10407510474.15,170662,SBIN
2023-05-31,EQ,583.8,584.8,577.5,592.8,581,579.85,581.09,629.55,430.7,28797643,16733958686.45,209733,SBIN
2023-05-30,EQ,595,595.5,591.5,595,592.95,592.8,593.57,629.55,430.7,15031640,8922277742.6,156739,SBIN
2023-05-29,EQ,590,596.4,588.05,586,594.6,595,593.5,629.55,430.7,18432231,10939616927.3,323484,SBIN
2023-05-26,EQ,581.25,587.75,580.55,581.25,585.75,586,585.13,629.55,430.7,9788076,5727306518.3,117540,SBIN
